,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,Match id
0,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
1,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
2,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
3,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
4,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
5,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
6,3.0,0,21,0,7.00,4,1,ODI v Pakistan,Centurion,26 Sep 2009,ODI # 2898
7,DNB,-,-,-,-,-,1,ODI v Australia,Centurion,28 Sep 2009,ODI # 2901
8,DNB,-,-,-,-,-,1,ODI v West Indies,Johannesburg,30 Sep 2009,ODI # 2904
9,DNB,-,-,-,-,-,1,ODI v Australia,Vadodara,25 Oct 2009,ODI # 2913
10,DNB,-,-,-,-,-,1,ODI v Australia,Mohali,2 Nov 2009,ODI # 2919
11,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
12,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
13,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
14,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
15,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
16,DNB,-,-,-,-,-,1,ODI v Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
17,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
18,DNB,-,-,-,-,-,1,ODI v Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
19,1.4,0,12,0,7.20,3,2,ODI v Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
20,DNB,-,-,-,-,-,2,ODI v South Africa,Jaipur,21 Feb 2010,ODI # 2961
21,DNB,-,-,-,-,-,2,ODI v South Africa,Gwalior,24 Feb 2010,ODI # 2962
22,2.0,0,11,0,5.50,6,1,ODI v South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
23,DNB,-,-,-,-,-,2,ODI v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
24,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
25,DNB,-,-,-,-,-,2,ODI v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
26,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
27,DNB,-,-,-,-,-,1,T20I v Zimbabwe,Harare,12 Jun 2010,T20I # 182
28,DNB,-,-,-,-,-,1,T20I v Zimbabwe,Harare,13 Jun 2010,T20I # 183
29,DNB,-,-,-,-,-,1,ODI v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
30,DNB,-,-,-,-,-,1,ODI v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
31,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
32,3.0,0,16,0,5.33,5,2,ODI v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
33,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
34,DNB,-,-,-,-,-,2,ODI v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
35,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
36,DNB,-,-,-,-,-,1,ODI v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
37,DNB,-,-,-,-,-,2,ODI v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
38,DNB,-,-,-,-,-,1,ODI v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
39,DNB,-,-,-,-,-,1,ODI v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
40,DNB,-,-,-,-,-,1,ODI v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
41,DNB,-,-,-,-,-,1,ODI v New Zealand,Chennai,10 Dec 2010,ODI # 3077
42,DNB,-,-,-,-,-,2,T20I v South Africa,Durban,9 Jan 2011,T20I # 196
43,DNB,-,-,-,-,-,1,ODI v South Africa,Durban,12 Jan 2011,ODI # 3079
44,DNB,-,-,-,-,-,2,ODI v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
45,DNB,-,-,-,-,-,1,ODI v South Africa,Cape Town,18 Jan 2011,ODI # 3082
46,DNB,-,-,-,-,-,1,ODI v South Africa,Gqeberha,21 Jan 2011,ODI # 3084
47,DNB,-,-,-,-,-,1,ODI v South Africa,Centurion,23 Jan 2011,ODI # 3087
48,DNB,-,-,-,-,-,2,ODI v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
49,DNB,-,-,-,-,-,2,ODI v England,Bengaluru,27 Feb 2011,ODI # 3110
50,DNB,-,-,-,-,-,1,ODI v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
51,DNB,-,-,-,-,-,1,ODI v Netherlands,Delhi,9 Mar 2011,ODI # 3124
52,DNB,-,-,-,-,-,2,ODI v South Africa,Nagpur,12 Mar 2011,ODI # 3128
53,DNB,-,-,-,-,-,2,ODI v West Indies,Chennai,20 Mar 2011,ODI # 3141
54,1.0,0,6,0,6.00,7,1,ODI v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
55,DNB,-,-,-,-,-,2,ODI v Pakistan,Mohali,30 Mar 2011,ODI # 3147
56,1.0,0,6,0,6.00,7,1,ODI v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
57,DNB,-,-,-,-,-,2,T20I v West Indies,Port of Spain,4 Jun 2011,T20I # 200
58,3.0,1,16,0,5.33,7,1,ODI v West Indies,Port of Spain,6 Jun 2011,ODI # 3159
59,DNB,-,-,-,-,-,1,ODI v West Indies,Port of Spain,8 Jun 2011,ODI # 3160
60,1.0,0,7,0,7.00,6,1,ODI v West Indies,North Sound,11 Jun 2011,ODI # 3161
61,DNB,-,-,-,-,-,1,ODI v West Indies,North Sound,13 Jun 2011,ODI # 3162
62,3.0,0,13,0,4.33,7,2,ODI v West Indies,Kingston,16 Jun 2011,ODI # 3163
63,DNB,-,-,-,-,-,2,Test v West Indies,Kingston,20 Jun 2011,Test # 1997
64,DNB,-,-,-,-,-,4,Test v West Indies,Kingston,20 Jun 2011,Test # 1997
65,DNB,-,-,-,-,-,2,Test v West Indies,Bridgetown,28 Jun 2011,Test # 1998
66,DNB,-,-,-,-,-,4,Test v West Indies,Bridgetown,28 Jun 2011,Test # 1998
67,DNB,-,-,-,-,-,1,Test v West Indies,Roseau,6 Jul 2011,Test # 1999
68,DNB,-,-,-,-,-,3,Test v West Indies,Roseau,6 Jul 2011,Test # 1999
69,3.0,0,22,1,7.33,5,2,T20I v England,Manchester,31 Aug 2011,T20I # 204
70,DNB,-,-,-,-,-,2,ODI v England,Chester-le-Street,3 Sep 2011,ODI # 3186
71,3.0,0,22,0,7.33,5,2,ODI v England,Southampton,6 Sep 2011,ODI # 3187
72,DNB,-,-,-,-,-,2,ODI v England,The Oval,9 Sep 2011,ODI # 3189
73,DNB,-,-,-,-,-,2,ODI v England,Lord's,11 Sep 2011,ODI # 3191
74,6.0,0,44,1,7.33,6,2,ODI v England,Cardiff,16 Sep 2011,ODI # 3195
75,3.0,0,11,0,3.66,3,2,ODI v England,Hyderabad,14 Oct 2011,ODI # 3199
76,5.0,0,18,0,3.60,3,1,ODI v England,Delhi,17 Oct 2011,ODI # 3201
77,3.0,0,20,1,6.66,3,1,ODI v England,Mohali,20 Oct 2011,ODI # 3205
78,4.0,0,14,0,3.50,6,1,ODI v England,Wankhede,23 Oct 2011,ODI # 3207
79,DNB,-,-,-,-,-,2,ODI v England,Eden Gardens,25 Oct 2011,ODI # 3210
80,2.4,0,13,1,4.87,6,2,T20I v England,Eden Gardens,29 Oct 2011,T20I # 214
81,2.0,0,9,0,4.50,6,1,Test v West Indies,Wankhede,22 Nov 2011,Test # 2019
82,DNB,-,-,-,-,-,3,Test v West Indies,Wankhede,22 Nov 2011,Test # 2019
83,DNB,-,-,-,-,-,1,ODI v West Indies,Cuttack,29 Nov 2011,ODI # 3217
84,DNB,-,-,-,-,-,1,ODI v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
85,DNB,-,-,-,-,-,1,ODI v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
86,DNB,-,-,-,-,-,2,ODI v West Indies,Indore,8 Dec 2011,ODI # 3223
87,1.0,0,11,0,11.00,7,2,ODI v West Indies,Chennai,11 Dec 2011,ODI # 3224
88,DNB,-,-,-,-,-,1,Test v Australia,Melbourne,26 Dec 2011,Test # 2025
89,DNB,-,-,-,-,-,3,Test v Australia,Melbourne,26 Dec 2011,Test # 2025
90,8.0,0,23,0,2.87,6,2,Test v Australia,Sydney,3 Jan 2012,Test # 2027
91,DNB,-,-,-,-,-,2,Test v Australia,W.A.C.A,13 Jan 2012,Test # 2029
92,1.0,0,3,0,3.00,6,1,Test v Australia,Adelaide,24 Jan 2012,Test # 2031
93,DNB,-,-,-,-,-,3,Test v Australia,Adelaide,24 Jan 2012,Test # 2031
94,DNB,-,-,-,-,-,1,T20I v Australia,Sydney,1 Feb 2012,T20I # 217
95,1.0,0,7,0,7.00,3,1,T20I v Australia,Melbourne,3 Feb 2012,T20I # 218
96,1.0,0,4,0,4.00,3,1,ODI v Australia,Melbourne,5 Feb 2012,ODI # 3231
97,DNB,-,-,-,-,-,1,ODI v Sri Lanka,W.A.C.A,8 Feb 2012,ODI # 3233
98,DNB,-,-,-,-,-,1,ODI v Australia,Adelaide,12 Feb 2012,ODI # 3237
99,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
100,DNB,-,-,-,-,-,1,ODI v Australia,Brisbane,19 Feb 2012,ODI # 3244
101,1.0,0,14,0,14.00,8,1,ODI v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
102,DNB,-,-,-,-,-,1,ODI v Australia,Sydney,26 Feb 2012,ODI # 3250
103,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
104,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
105,DNB,-,-,-,-,-,2,ODI v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
106,DNB,-,-,-,-,-,1,ODI v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
107,1.0,0,15,0,15.00,8,1,T20I v South Africa,Johannesburg,30 Mar 2012,T20I # 242
108,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
109,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
110,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
111,2.0,0,7,0,3.50,4,1,ODI v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
112,1.0,0,3,0,3.00,4,2,ODI v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
113,3.0,0,13,0,4.33,4,2,T20I v Sri Lanka,Pallekele,7 Aug 2012,T20I # 255
114,DNB,-,-,-,-,-,2,Test v New Zealand,Hyderabad,23 Aug 2012,Test # 2054
115,DNB,-,-,-,-,-,3,Test v New Zealand,Hyderabad,23 Aug 2012,Test # 2054
116,DNB,-,-,-,-,-,1,Test v New Zealand,Bengaluru,31 Aug 2012,Test # 2055
117,DNB,-,-,-,-,-,3,Test v New Zealand,Bengaluru,31 Aug 2012,Test # 2055
118,3.0,0,27,0,9.00,6,1,T20I v New Zealand,Chennai,11 Sep 2012,T20I # 261
119,DNB,-,-,-,-,-,2,T20I v Afghanistan,Colombo (RPS),19 Sep 2012,T20I # 265
120,DNB,-,-,-,-,-,2,T20I v England,Colombo (RPS),23 Sep 2012,T20I # 272
121,1.0,0,10,0,10.00,6,2,T20I v Australia,Colombo (RPS),28 Sep 2012,T20I # 278
122,3.0,0,21,1,7.00,6,1,T20I v Pakistan,Colombo (RPS),30 Sep 2012,T20I # 282
123,DNB,-,-,-,-,-,2,T20I v South Africa,Colombo (RPS),2 Oct 2012,T20I # 286
124,DNB,-,-,-,-,-,2,Test v England,Ahmedabad,15 Nov 2012,Test # 2058
125,DNB,-,-,-,-,-,3,Test v England,Ahmedabad,15 Nov 2012,Test # 2058
126,DNB,-,-,-,-,-,2,Test v England,Wankhede,23 Nov 2012,Test # 2062
127,DNB,-,-,-,-,-,4,Test v England,Wankhede,23 Nov 2012,Test # 2062
128,DNB,-,-,-,-,-,2,Test v England,Eden Gardens,5 Dec 2012,Test # 2065
129,DNB,-,-,-,-,-,4,Test v England,Eden Gardens,5 Dec 2012,Test # 2065
130,DNB,-,-,-,-,-,1,Test v England,Nagpur,13 Dec 2012,Test # 2066
131,DNB,-,-,-,-,-,3,Test v England,Nagpur,13 Dec 2012,Test # 2066
132,1.0,0,10,0,10.00,6,1,T20I v England,Pune,20 Dec 2012,T20I # 292
133,DNB,-,-,-,-,-,2,T20I v England,Wankhede,22 Dec 2012,T20I # 294
134,2.0,0,21,0,10.50,4,2,T20I v Pakistan,Bengaluru,25 Dec 2012,T20I # 296
135,DNB,-,-,-,-,-,2,T20I v Pakistan,Ahmedabad,28 Dec 2012,T20I # 298
136,2.5,0,21,0,7.41,7,2,ODI v Pakistan,Chennai,30 Dec 2012,ODI # 3314
137,DNB,-,-,-,-,-,1,ODI v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
138,DNB,-,-,-,-,-,2,ODI v Pakistan,Delhi,6 Jan 2013,ODI # 3316
139,1.0,0,9,0,9.00,7,1,ODI v England,Rajkot,11 Jan 2013,ODI # 3318
140,DNB,-,-,-,-,-,2,ODI v England,Kochi,15 Jan 2013,ODI # 3320
141,DNB,-,-,-,-,-,1,ODI v England,Ranchi,19 Jan 2013,ODI # 3322
142,DNB,-,-,-,-,-,1,ODI v England,Mohali,23 Jan 2013,ODI # 3327
143,DNB,-,-,-,-,-,2,ODI v England,Dharamsala,27 Jan 2013,ODI # 3329
144,DNB,-,-,-,-,-,1,Test v Australia,Chennai,22 Feb 2013,Test # 2074
145,DNB,-,-,-,-,-,3,Test v Australia,Chennai,22 Feb 2013,Test # 2074
146,DNB,-,-,-,-,-,1,Test v Australia,Hyderabad,2 Mar 2013,Test # 2076
147,DNB,-,-,-,-,-,3,Test v Australia,Hyderabad,2 Mar 2013,Test # 2076
148,DNB,-,-,-,-,-,1,Test v Australia,Mohali,14 Mar 2013,Test # 2081
149,DNB,-,-,-,-,-,3,Test v Australia,Mohali,14 Mar 2013,Test # 2081
150,DNB,-,-,-,-,-,1,Test v Australia,Delhi,22 Mar 2013,Test # 2085
151,DNB,-,-,-,-,-,3,Test v Australia,Delhi,22 Mar 2013,Test # 2085
152,DNB,-,-,-,-,-,2,ODI v South Africa,Cardiff,6 Jun 2013,ODI # 3363
153,4.0,0,26,0,6.50,5,1,ODI v West Indies,The Oval,11 Jun 2013,ODI # 3368
154,2.0,0,11,0,5.50,5,1,ODI v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
155,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
156,DNB,-,-,-,-,-,2,ODI v England,Birmingham,23 Jun 2013,ODI # 3377
157,DNB,-,-,-,-,-,2,ODI v West Indies,Kingston,30 Jun 2013,ODI # 3380
158,2.0,0,9,0,4.50,6,1,ODI v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
159,DNB,-,-,-,-,-,2,ODI v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
160,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
161,3.0,0,17,0,5.66,4,1,ODI v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
162,DNB,-,-,-,-,-,1,ODI v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
163,DNB,-,-,-,-,-,2,ODI v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
164,1.0,0,7,0,7.00,4,1,ODI v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
165,DNB,-,-,-,-,-,1,ODI v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
166,DNB,-,-,-,-,-,1,ODI v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
167,2.0,0,24,0,12.00,6,1,T20I v Australia,Rajkot,10 Oct 2013,T20I # 331
168,1.0,0,12,0,12.00,6,1,ODI v Australia,Pune,13 Oct 2013,ODI # 3419
169,DNB,-,-,-,-,-,1,ODI v Australia,Jaipur,16 Oct 2013,ODI # 3420
170,1.0,0,18,0,18.00,7,2,ODI v Australia,Mohali,19 Oct 2013,ODI # 3421
171,DNB,-,-,-,-,-,1,ODI v Australia,Ranchi,23 Oct 2013,ODI # 3422
172,2.0,0,15,0,7.50,6,1,ODI v Australia,Nagpur,30 Oct 2013,ODI # 3424
173,DNB,-,-,-,-,-,2,ODI v Australia,Bengaluru,2 Nov 2013,ODI # 3428
174,DNB,-,-,-,-,-,1,Test v West Indies,Eden Gardens,6 Nov 2013,Test # 2101
175,DNB,-,-,-,-,-,3,Test v West Indies,Eden Gardens,6 Nov 2013,Test # 2101
176,DNB,-,-,-,-,-,1,Test v West Indies,Wankhede,14 Nov 2013,Test # 2102
177,DNB,-,-,-,-,-,3,Test v West Indies,Wankhede,14 Nov 2013,Test # 2102
178,DNB,-,-,-,-,-,1,ODI v West Indies,Kochi,21 Nov 2013,ODI # 3436
179,DNB,-,-,-,-,-,2,ODI v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
180,DNB,-,-,-,-,-,1,ODI v West Indies,Kanpur,27 Nov 2013,ODI # 3439
181,2.0,0,15,1,7.50,7,1,ODI v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
182,3.0,0,17,0,5.66,6,1,ODI v South Africa,Durban,8 Dec 2013,ODI # 3443
183,3.0,0,22,0,7.33,7,1,ODI v South Africa,Centurion,11 Dec 2013,ODI # 3444
184,DNB,-,-,-,-,-,2,Test v South Africa,Johannesburg,18 Dec 2013,Test # 2108
185,6.0,0,18,0,3.00,7,4,Test v South Africa,Johannesburg,18 Dec 2013,Test # 2108
186,DNB,-,-,-,-,-,2,Test v South Africa,Durban,26 Dec 2013,Test # 2111
187,DNB,-,-,-,-,-,4,Test v South Africa,Durban,26 Dec 2013,Test # 2111
188,3.0,0,13,0,4.33,6,1,ODI v New Zealand,Napier,19 Jan 2014,ODI # 3456
189,2.0,0,12,0,6.00,5,1,ODI v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
190,DNB,-,-,-,-,-,1,ODI v New Zealand,Auckland,25 Jan 2014,ODI # 3462
191,DNB,-,-,-,-,-,2,ODI v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
192,7.0,0,36,1,5.14,6,1,ODI v New Zealand,Wellington,31 Jan 2014,ODI # 3467
193,1.0,0,4,0,4.00,5,1,Test v New Zealand,Auckland,6 Feb 2014,Test # 2118
194,DNB,-,-,-,-,-,3,Test v New Zealand,Auckland,6 Feb 2014,Test # 2118
195,DNB,-,-,-,-,-,1,Test v New Zealand,Wellington,14 Feb 2014,Test # 2120
196,6.0,1,13,0,2.16,6,3,Test v New Zealand,Wellington,14 Feb 2014,Test # 2120
197,1.1,0,6,0,5.14,7,1,ODI v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
198,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
199,DNB,-,-,-,-,-,2,ODI v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
200,DNB,-,-,-,-,-,1,ODI v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
201,DNB,-,-,-,-,-,1,T20I v Pakistan,Mirpur,21 Mar 2014,T20I # 378
202,DNB,-,-,-,-,-,1,T20I v West Indies,Mirpur,23 Mar 2014,T20I # 382
203,DNB,-,-,-,-,-,1,T20I v Bangladesh,Mirpur,28 Mar 2014,T20I # 389
204,DNB,-,-,-,-,-,2,T20I v Australia,Mirpur,30 Mar 2014,T20I # 393
205,DNB,-,-,-,-,-,1,T20I v South Africa,Mirpur,4 Apr 2014,T20I # 399
206,DNB,-,-,-,-,-,2,T20I v Sri Lanka,Mirpur,6 Apr 2014,T20I # 400
207,DNB,-,-,-,-,-,2,Test v England,Nottingham,9 Jul 2014,Test # 2128
208,DNB,-,-,-,-,-,2,Test v England,Lord's,17 Jul 2014,Test # 2130
209,DNB,-,-,-,-,-,4,Test v England,Lord's,17 Jul 2014,Test # 2130
210,DNB,-,-,-,-,-,1,Test v England,Southampton,27 Jul 2014,Test # 2132
211,DNB,-,-,-,-,-,3,Test v England,Southampton,27 Jul 2014,Test # 2132
212,DNB,-,-,-,-,-,2,Test v England,Manchester,7 Aug 2014,Test # 2134
213,DNB,-,-,-,-,-,2,Test v England,The Oval,15 Aug 2014,Test # 2137
214,DNB,-,-,-,-,-,2,ODI v England,Cardiff,27 Aug 2014,ODI # 3517
215,DNB,-,-,-,-,-,1,ODI v England,Nottingham,30 Aug 2014,ODI # 3520
216,DNB,-,-,-,-,-,1,ODI v England,Birmingham,2 Sep 2014,ODI # 3523
217,DNB,-,-,-,-,-,1,ODI v England,Leeds,5 Sep 2014,ODI # 3525
218,DNB,-,-,-,-,-,1,T20I v England,Birmingham,7 Sep 2014,T20I # 405
219,DNB,-,-,-,-,-,1,ODI v West Indies,Kochi,8 Oct 2014,ODI # 3531
220,2.0,0,20,0,10.00,6,2,ODI v West Indies,Delhi,11 Oct 2014,ODI # 3533
221,1.0,0,14,0,14.00,4,2,ODI v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
222,0.5,0,6,0,7.20,4,2,ODI v Sri Lanka,Cuttack,2 Nov 2014,ODI # 3539
223,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
224,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Hyderabad,9 Nov 2014,ODI # 3543
225,DNB,-,-,-,-,-,2,ODI v Sri Lanka,Eden Gardens,13 Nov 2014,ODI # 3544
226,DNB,-,-,-,-,-,1,ODI v Sri Lanka,Ranchi,16 Nov 2014,ODI # 3547
227,DNB,-,-,-,-,-,1,Test v Australia,Adelaide,9 Dec 2014,Test # 2148
228,DNB,-,-,-,-,-,3,Test v Australia,Adelaide,9 Dec 2014,Test # 2148
229,DNB,-,-,-,-,-,2,Test v Australia,Brisbane,17 Dec 2014,Test # 2149
230,DNB,-,-,-,-,-,4,Test v Australia,Brisbane,17 Dec 2014,Test # 2149
231,DNB,-,-,-,-,-,1,Test v Australia,Melbourne,26 Dec 2014,Test # 2152
232,DNB,-,-,-,-,-,3,Test v Australia,Melbourne,26 Dec 2014,Test # 2152
233,DNB,-,-,-,-,-,1,Test v Australia,Sydney,6 Jan 2015,Test # 2156
234,DNB,-,-,-,-,-,3,Test v Australia,Sydney,6 Jan 2015,Test # 2156
235,DNB,-,-,-,-,-,2,ODI v Australia,Melbourne,18 Jan 2015,ODI # 3582
236,DNB,-,-,-,-,-,2,ODI v England,Brisbane,20 Jan 2015,ODI # 3586
237,TDNB,-,-,-,-,-,-,ODI v Australia,Sydney,26 Jan 2015,ODI # 3592
238,DNB,-,-,-,-,-,2,ODI v England,W.A.C.A,30 Jan 2015,ODI # 3595
239,DNB,-,-,-,-,-,2,ODI v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
240,DNB,-,-,-,-,-,2,ODI v South Africa,Melbourne,22 Feb 2015,ODI # 3610
241,DNB,-,-,-,-,-,1,ODI v U.A.E.,W.A.C.A,28 Feb 2015,ODI # 3618
242,DNB,-,-,-,-,-,1,ODI v West Indies,W.A.C.A,6 Mar 2015,ODI # 3625
243,DNB,-,-,-,-,-,1,ODI v Ireland,Hamilton,10 Mar 2015,ODI # 3631
244,DNB,-,-,-,-,-,1,ODI v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
245,DNB,-,-,-,-,-,2,ODI v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
246,1.0,0,7,0,7.00,4,1,ODI v Australia,Sydney,26 Mar 2015,ODI # 3645
247,DNB,-,-,-,-,-,2,Test v Bangladesh,Fatullah,10 Jun 2015,Test # 2165
248,DNB,-,-,-,-,-,3,Test v Bangladesh,Fatullah,10 Jun 2015,Test # 2165
249,2.0,0,12,0,6.00,7,1,ODI v Bangladesh,Mirpur,18 Jun 2015,ODI # 3658
250,DNB,-,-,-,-,-,2,ODI v Bangladesh,Mirpur,21 Jun 2015,ODI # 3660
251,DNB,-,-,-,-,-,2,ODI v Bangladesh,Mirpur,24 Jun 2015,ODI # 3661
252,DNB,-,-,-,-,-,1,Test v Sri Lanka,Galle,12 Aug 2015,Test # 2176
253,DNB,-,-,-,-,-,3,Test v Sri Lanka,Galle,12 Aug 2015,Test # 2176
254,DNB,-,-,-,-,-,2,Test v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
255,DNB,-,-,-,-,-,4,Test v Sri Lanka,Colombo (PSS),20 Aug 2015,Test # 2177
256,DNB,-,-,-,-,-,2,Test v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
257,DNB,-,-,-,-,-,4,Test v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
258,DNB,-,-,-,-,-,2,T20I v South Africa,Dharamsala,2 Oct 2015,T20I # 456
259,DNB,-,-,-,-,-,2,T20I v South Africa,Cuttack,5 Oct 2015,T20I # 457
260,0.2,0,1,0,3.00,7,1,ODI v South Africa,Kanpur,11 Oct 2015,ODI # 3689
261,DNB,-,-,-,-,-,2,ODI v South Africa,Indore,14 Oct 2015,ODI # 3692
262,DNB,-,-,-,-,-,1,ODI v South Africa,Rajkot,18 Oct 2015,ODI # 3695
263,DNB,-,-,-,-,-,2,ODI v South Africa,Chennai,22 Oct 2015,ODI # 3698
264,2.0,0,14,0,7.00,7,1,ODI v South Africa,Wankhede,25 Oct 2015,ODI # 3700
265,DNB,-,-,-,-,-,2,Test v South Africa,Mohali,5 Nov 2015,Test # 2186
266,DNB,-,-,-,-,-,4,Test v South Africa,Mohali,5 Nov 2015,Test # 2186
267,DNB,-,-,-,-,-,1,Test v South Africa,Bengaluru,14 Nov 2015,Test # 2188
268,DNB,-,-,-,-,-,2,Test v South Africa,Nagpur,25 Nov 2015,Test # 2189
269,DNB,-,-,-,-,-,4,Test v South Africa,Nagpur,25 Nov 2015,Test # 2189
270,DNB,-,-,-,-,-,2,Test v South Africa,Delhi,3 Dec 2015,Test # 2191
271,1.0,1,0,0,0.00,7,4,Test v South Africa,Delhi,3 Dec 2015,Test # 2191
272,2.0,0,13,0,6.50,7,2,ODI v Australia,W.A.C.A,12 Jan 2016,ODI # 3723
273,1.0,0,7,0,7.00,6,2,ODI v Australia,Brisbane,15 Jan 2016,ODI # 3724
274,DNB,-,-,-,-,-,2,ODI v Australia,Melbourne,17 Jan 2016,ODI # 3725
275,DNB,-,-,-,-,-,1,ODI v Australia,Canberra,20 Jan 2016,ODI # 3726
276,DNB,-,-,-,-,-,1,ODI v Australia,Sydney,23 Jan 2016,ODI # 3727
277,DNB,-,-,-,-,-,2,T20I v Australia,Adelaide,26 Jan 2016,T20I # 485
